ProductId,Gender,Category,SubCategory,ProductType,Colour,Usage,ProductTitle,Image,ImageURL
42419,Girls,Apparel,Topwear,Tops,White,Casual,Gini and Jony Girls Knit White Top,42419.jpg,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg
34009,Girls,Apparel,Topwear,Tops,Black,Casual,Gini and Jony Girls Black Top,34009.jpg,http://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg
40143,Girls,Apparel,Topwear,Tops,Blue,Casual,Gini and Jony Girls Pretty Blossom Blue Top,40143.jpg,http://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg
23623,Girls,Apparel,Topwear,Tops,Pink,Casual,Doodle Kids Girls Pink I love Shopping Top,23623.jpg,http://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg
47154,Girls,Apparel,Bottomwear,Capris,Black,Casual,Gini and Jony Girls Black Capris,47154.jpg,http://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg
25520,Girls,Apparel,Topwear,Tops,White,Casual,Doodle Kids Girls City Chic White Top,25520.jpg,http://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg
31120,Girls,Apparel,Topwear,Tops,Pink,Casual,Palm Tree Girls Pink Top,31120.jpg,http://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg
31118,Girls,Apparel,Topwear,Tops,Red,Casual,Gini and Jony Girls Red Top,31118.jpg,http://assets.myntassets.com/v1/images/style/properties/1e3b40d501f5fbbceeab3879db474932_images.jpg
54923,Girls,Apparel,Bottomwear,Capris,Olive,Casual,Do u speak Green Girls Olive 3/4 Pant,54923.jpg,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-Green-Girls-Olive-34-Pant_62311570aeebd7385030de554584a065_images.jpg
31127,Girls,Apparel,Dress,Dresses,Black,Casual,Gini and Jony Girls Black Dress,31127.jpg,http://assets.myntassets.com/v1/images/style/properties/1f7c87ee0ac12c35df8c1dd28e2cd692_images.jpg
47153,Girls,Apparel,Bottomwear,Capris,Pink,Casual,Gini and Jony Girls Pink Capris,47153.jpg,http://assets.myntassets.com/v1/images/style/properties/87321ab7962a30b2e9b01fa16997029c_images.jpg
40144,Girls,Apparel,Topwear,Tops,Pink,Casual,Gini and Jony Girls Pretty Blossom Pink Top,40144.jpg,http://assets.myntassets.com/v1/images/style/properties/1397081a5a637d539b0197aae4a6855e_images.jpg
23624,Girls,Apparel,Topwear,Tops,White,Casual,Doodle Kids Girls White I love Shopping Top,23624.jpg,http://assets.myntassets.com/v1/images/style/properties/5ab7fb83e0891f3453746c9a073e3ec6_images.jpg
34693,Girls,Apparel,Bottomwear,Shorts,Pink,Casual,Allen Solly Kids Girls Poplin Pink Shorts,34693.jpg,http://assets.myntassets.com/v1/images/style/properties/c8c6fd3233823726f484da6b7007f016_images.jpg
4718,Girls,Apparel,Topwear,Tshirts,Yellow,Casual,Disney Kids Girl's Summer Fun Fair Yellow Teen Kidswear,4718.jpg,http://assets.myntassets.com/v1/images/style/properties/1109685531795f17aca2acaba2ab39ad_images.jpg
36750,Girls,Apparel,Dress,Dresses,Navy Blue,Casual,Little Miss Girls Chatterbox Navy Blue Dress,36750.jpg,http://assets.myntassets.com/v1/images/style/properties/0d3b2725d327a275c52c6f999e3982eb_images.jpg
34007,Girls,Apparel,Topwear,Tops,Pink,Casual,Gini and Jony Girls Pink Top,34007.jpg,http://assets.myntassets.com/v1/images/style/properties/6e0a7cc4e1d472f99d820275fe5f7679_images.jpg
31129,Girls,Apparel,Dress,Dresses,Magenta,Casual,Giny and Jony Girls Printed White & Pink Dress,31129.jpg,http://assets.myntassets.com/v1/images/style/properties/3a4faa7c017c3ea1e8df9c887b929d50_images.jpg
4720,Girls,Apparel,Topwear,Tshirts,Yellow,Casual,Disney Kids Girl's Fun In The Fair Yellow Teen Kidswear,4720.jpg,http://assets.myntassets.com/v1/images/style/properties/4c35804275294e78210e4dcf86686652_images.jpg
17612,Girls,Apparel,Topwear,Tshirts,Grey,Casual,Doodle Cute Girls  Grey Tshirt,17612.jpg,http://assets.myntassets.com/v1/images/style/properties/7fc0dc0e751be847d706620fdd3802f7_images.jpg
50723,Girls,Apparel,Dress,Dresses,Blue,Casual,Doodle Girls Blue Printed Dress,50723.jpg,http://assets.myntassets.com/v1/images/style/properties/9fa6bd6c5b841804bdee04460ee934de_images.jpg
33271,Girls,Apparel,Bottomwear,Skirts,Red,Casual,Gini and Jony Girls Red Skirt,33271.jpg,http://assets.myntassets.com/v1/images/style/properties/87725859164f90b1c366659f2f381238_images.jpg
41007,Girls,Apparel,Bottomwear,Shorts,Navy Blue,Casual,Gini and Jony Girls Woven Navy Blue Shorts,41007.jpg,http://assets.myntassets.com/v1/images/style/properties/7195b148c3b6b41cf4ad730cbe7abbcb_images.jpg
46813,Girls,Apparel,Bottomwear,Skirts,Pink,Casual,Gini and Jony Girls Pink Skirt,46813.jpg,http://assets.myntassets.com/v1/images/style/properties/167c8880c4c77718ac8e2ecdf57e619c_images.jpg
41000,Girls,Apparel,Bottomwear,Shorts,Blue,Casual,Gini and Jony Girls Woven Blue Shorts,41000.jpg,http://assets.myntassets.com/v1/images/style/properties/4882420c3607228a30540b5b99aba1d4_images.jpg
8378,Girls,Apparel,Topwear,Tshirts,Green,Casual,Doodle Girl's Princess Lime Kidswear,8378.jpg,http://assets.myntassets.com/v1/images/style/properties/3877b9da648c16c969b043643426be71_images.jpg
39328,Girls,Apparel,Bottomwear,Shorts,Green,Casual,Gini and Jony Girls Green Shorts,39328.jpg,http://assets.myntassets.com/v1/images/style/properties/7ed1ca17fdfdefdd6320156fe7ea7292_images.jpg
50724,Girls,Apparel,Dress,Dresses,Blue,Casual,Doodle Girls Blue Washed Dress,50724.jpg,http://assets.myntassets.com/v1/images/style/properties/8f184224331047aa5fc5b0041b04dc53_images.jpg
46814,Girls,Apparel,Bottomwear,Skirts,Pink,Casual,Gini and Jony Girls Pink Skirt,46814.jpg,http://assets.myntassets.com/v1/images/style/properties/4e26ee06c517e6f227ca6af3653f0f6b_images.jpg
